cgpa,iq,placement
6.8,123.0,1
5.9,106.0,0
5.3,121.0,0
7.4,132.0,1
5.8,142.0,0
7.1,48.0,1
5.7,143.0,0
5.0,63.0,0
6.1,156.0,0
5.1,66.0,0
6.0,45.0,1
6.9,138.0,1
5.4,139.0,0
6.4,116.0,1
6.1,103.0,0
5.1,176.0,0
5.2,224.0,0
3.3,183.0,0
4.0,100.0,0
5.2,132.0,0
6.6,120.0,1
7.1,151.0,1
4.9,120.0,0
4.7,87.0,0
4.7,121.0,0
5.0,91.0,0
7.0,199.0,1
6.0,124.0,1
5.2,90.0,0
7.0,112.0,1
7.6,128.0,1
3.9,109.0,0
7.0,139.0,1
6.0,149.0,0
4.8,163.0,0
6.8,90.0,1
5.7,140.0,0
8.1,149.0,1
6.5,160.0,1
4.6,146.0,0
4.9,134.0,0
5.4,114.0,0
7.6,89.0,1
6.8,141.0,1
7.5,61.0,1
6.0,66.0,1
5.3,114.0,0
5.2,161.0,0
6.6,138.0,1
5.4,135.0,0
3.5,233.0,0
4.8,141.0,0
7.0,175.0,1
8.3,168.0,1
6.4,141.0,1
7.8,114.0,1
6.1,65.0,0
6.5,130.0,1
8.0,79.0,1
4.8,112.0,0
6.9,139.0,1
7.3,137.0,1
6.0,102.0,0
6.3,128.0,1
7.0,64.0,1
8.1,166.0,1
6.9,96.0,1
5.0,118.0,0
4.0,75.0,0
8.5,120.0,1
6.3,127.0,1
6.1,132.0,1
7.3,116.0,1
4.9,61.0,0
6.7,154.0,1
4.8,169.0,0
4.9,155.0,0
7.3,50.0,1
6.1,81.0,0
6.5,90.0,1
4.9,196.0,0
5.4,107.0,0
6.5,37.0,1
7.5,130.0,1
5.7,169.0,0
5.8,166.0,1
5.1,128.0,0
5.7,132.0,1
4.4,149.0,0
4.9,151.0,0
7.3,86.0,1
7.5,158.0,1
5.2,110.0,0
6.8,112.0,1
4.7,52.0,0
4.3,200.0,0
4.4,42.0,0
6.7,182.0,1
6.3,103.0,1
6.2,113.0,1
9.7,133.0,1
9.0,101.0,1
8.7,89.0,0
10.0,133.0,1
8.65,101.0,0
9.55,102.0,1
7.5,89.0,0
9.4,122.0,1
8.6,90.0,0
9.8,121.0,1
9.68,125.0,1
7.79,131.6,1
7.1,106.7,1
7.95,96.4,1
8.9,141.7,1
7.0,156.4,1
7.0,152.9,1
8.96,90.8,1
8.08,109.3,1
6.75,131.8,1
7.84,154.4,1
6.75,103.4,1
6.75,113.7,1
7.51,81.4,1
5.19,78.2,1
5.39,148.7,1
6.65,160.0,1
6.16,117.7,1
7.59,155.4,1
6.27,132.9,1
5.73,97.6,1
8.84,132.9,1
7.01,160.0,1
7.33,118.9,1
5.71,160.0,1
6.66,70.0,1
7.37,149.0,1
6.01,123.2,1
7.66,109.7,1
6.6,123.4,1
6.94,70.0,1
6.6,112.5,1
9.25,132.7,1
7.24,160.0,1
6.11,102.0,1
8.14,91.8,1
5.93,102.6,1
7.48,152.3,1
5.14,131.7,1
5.82,101.6,1
7.47,138.2,1
8.05,123.6,1
7.44,154.2,1
7.13,95.6,1
6.93,108.7,1
5.66,106.4,1
6.48,70.0,1
6.76,130.6,1
8.4,129.4,1
7.62,120.4,1
5.35,112.0,1
4.0,134.8,0
4.84,138.9,0
4.93,95.7,0
4.43,134.1,0
5.13,136.6,0
5.74,94.3,0
7.35,160.0,0
5.49,144.2,0
5.58,74.3,0
5.22,151.9,0
4.0,83.4,0
5.27,157.4,0
5.37,160.0,0
7.97,89.8,0
5.09,160.0,0
5.63,141.7,0
5.26,158.9,0
4.03,160.0,0
6.54,114.0,0
6.12,92.6,0
6.16,86.9,0
4.31,90.0,0
6.82,121.1,0
4.0,138.6,0
5.94,135.9,0
7.68,159.1,0
4.23,124.9,0
4.69,160.0,0
5.41,113.2,0
4.75,160.0,0
4.0,150.6,0
5.38,88.3,0
4.15,79.3,0
5.81,144.6,0
4.3,114.9,0
6.98,154.3,0
4.45,144.2,0
4.95,121.3,0
6.18,88.7,0
4.0,70.0,0
5.55,105.6,0
6.72,160.0,0
4.0,133.3,0
5.5,72.0,0
5.58,131.6,0
6.15,140.5,0
4.0,87.2,0
4.0,130.8,0
5.87,126.8,0
5.62,76.3,0
